q_A^-1,intensity,sigma,intensity_fit
2.628799999999998954e-04,1.386895585188101046e+06,1.246790835124168807e+05,1.739009917766903061e+06
2.675438070964800586e-04,1.419350584545141319e+06,1.237257300489610643e+05,1.744548283356369007e+06
2.722903557352346284e-04,1.451601427657551132e+06,1.227393472885059309e+05,1.750240339511693455e+06
2.771211138506526656e-04,1.483595819079943933e+06,1.217198455776671181e+05,1.756087011765236501e+06
2.820375754200420289e-04,1.515280428586720955e+06,1.206671991498740827e+05,1.762088783379023429e+06
2.870412609256645163e-04,1.546601008580089780e+06,1.195814481954680232e+05,1.768245630569611676e+06
2.921337178249632373e-04,1.577502518940357957e+06,1.184627007444567716e+05,1.774556950683620526e+06
2.973165210291369332e-04,1.607929259087776765e+06,1.173111343477467890e+05,1.781021482698020060e+06
3.025912733902008352e-04,1.637825006980689708e+06,1.161269975431841158e+05,1.787637219388786936e+06
3.079596061966908367e-04,1.667133164729883196e+06,1.149106110934441094e+05,1.794401310486206552e+06
3.134231796781628216e-04,1.695796910463832086e+06,1.136623689835038822e+05,1.801309956116966438e+06
3.189836835186387210e-04,1.723759356034250464e+06,1.123827391662917944e+05,1.808358289825060405e+06
3.246428373791666985e-04,1.750963710106513463e+06,1.110722640460169641e+05,1.815540250468702754e+06
3.304023914296471982e-04,1.777353446134985425e+06,1.097315606896979734e+05,1.822848442313052481e+06
3.362641268900991407e-04,1.802872474679768551e+06,1.083613207584200427e+05,1.830273982683292124e+06
3.422298565815239113e-04,1.827465319478887133e+06,1.069623101511702262e+05,1.837806336615389679e+06
3.483014254865459238e-04,1.851077296649080701e+06,1.055353683551690046e+05,1.845433138049401576e+06
3.544807113199996006e-04,1.873654696349026635e+06,1.040814074980520381e+05,1.853139997260234784e+06
3.607696251096353208e-04,1.895144966201862786e+06,1.026014110986171581e+05,1.860910294422507752e+06
3.671701117871337995e-04,1.915496895739203319e+06,1.010964325143007300e+05,1.868724959469582187e+06
3.736841507895997147e-04,1.934660801096959272e+06,9.956759308502738713e+04,1.876562238743299618e+06
3.803137566717306600e-04,1.952588709164518630e+06,9.801607997474590957e+04,1.884397449352715630e+06
3.870609797288466049e-04,1.969234540363448672e+06,9.644314371348630812e+04,1.892202722680198494e+06
3.939279066309686757e-04,1.984554289210243151e+06,9.485009544443349296e+04,1.899946739104817156e+06
4.009166610681532024e-04,1.998506201799985021e+06,9.323830388229017262e+04,1.907594456769161858e+06
4.080294044072686516e-04,2.011050949334457982e+06,9.160919199078627571e+04,1.915106838108109077e+06
4.152683363604304980e-04,2.022151796809453983e+06,8.996423338904038246e+04,1.922440578896026826e+06
4.226356956652892443e-04,2.031774765972078545e+06,8.830494849802444514e+04,1.929547845757578965e+06
4.301337607773916827e-04,2.039888791659913026e+06,8.663290044033712184e+04,1.936376029425775632e+06
