sample_key,sample_name,side_pressure_mpa,axial_pressure_nominal_mpa,axial_pressure_mpa,pore_volume_1_1500_nm_mm3,porosity_1_1500_nm_pct,delta_pore_volume_mm3_vs_group_baseline,delta_porosity_pct_points_vs_group_baseline,ratio_pore_volume_vs_group_baseline,ratio_porosity_vs_group_baseline,delta_pore_volume_mm3_vs_common_baseline,delta_porosity_pct_points_vs_common_baseline,ratio_pore_volume_vs_common_baseline,ratio_porosity_vs_common_baseline,output_dir
0_0.1,TH6-0.1,0.0,0.1,0.7,0.7044110722915401,8.37687087990891,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\01_0_0.1_TH6-0.1
0_1,TH6-1.0,0.0,1.0,6.8,0.6959300475545435,9.048628885119536,-0.008481024736996634,0.6717580052106253,0.9879601200625555,1.0801919970882887,-0.008481024736996634,0.6717580052106253,0.9879601200625555,1.0801919970882887,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\02_0_1_TH6-1.0
0_2,TH6-2,0.0,2.0,13.5,0.7120322710350937,9.482384752098731,0.007621198743553603,1.105513872189821,1.010819248934803,1.1319721752953464,0.007621198743553603,1.105513872189821,1.010819248934803,1.1319721752953464,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\03_0_2_TH6-2
0_3,TH6-3,0.0,3.0,20.3,0.703599638467184,9.500400195344099,-0.0008114338243561114,1.1235293154351886,0.9988480677600419,1.1341227925728044,-0.0008114338243561114,1.1235293154351886,0.9988480677600419,1.1341227925728044,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\04_0_3_TH6-3
0_4,TH6-4,0.0,4.0,27.1,0.7013021913713289,9.576706150093253,-0.003108880920211221,1.1998352701843427,0.995586553019251,1.1432319164739697,-0.003108880920211221,1.1998352701843427,0.995586553019251,1.1432319164739697,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\05_0_4_TH6-4
0_5,TH6-5,0.0,5.0,33.9,0.6897766079868985,9.499746701375825,-0.014634464304641548,1.1228758214669146,0.9792245396469511,1.1340447808691931,-0.014634464304641548,1.1228758214669146,0.9792245396469511,1.1340447808691931,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\06_0_5_TH6-5
1.1_3,TH6-3-1.1,1.1,3.0,20.3,0.6158247620784246,8.315214178752694,-0.08858631021311547,-0.0616567011562168,0.8742406050987632,0.9926396500507016,-0.08858631021311547,-0.0616567011562168,0.8742406050987632,0.9926396500507016,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\07_1.1_3_TH6-3-1.1
1.1_4,TH6-4-1.1,1.1,4.0,27.1,0.6244413374299445,8.527124640583702,-0.07996973486159564,0.1502537606747918,0.8864729161603838,1.0179367406790476,-0.07996973486159564,0.1502537606747918,0.8864729161603838,1.0179367406790476,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\08_1.1_4_TH6-4-1.1
1.1_6,TH6-6-1.1,1.1,6.0,40.7,0.6335371028096195,8.790580030659353,-0.0708739694819206,0.41370915075044223,0.8993854976592597,1.0493870750404763,-0.0708739694819206,0.41370915075044223,0.8993854976592597,1.0493870750404763,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\09_1.1_6_TH6-6-1.1
1.1_8,TH6-8-1.1,1.1,8.0,54.2,0.6297350905658213,8.854542893220211,-0.07467598172571877,0.4776720133113006,0.893988063698675,1.0570227260464227,-0.07467598172571877,0.4776720133113006,0.893988063698675,1.0570227260464227,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\10_1.1_8_TH6-8-1.1
1.1_10,TH6-10-1.1,1.1,10.0,67.7,0.630538696338685,8.97563980553288,-0.07387237595285512,0.5987689256239701,0.8951288830362379,1.0714788295304942,-0.07387237595285512,0.5987689256239701,0.8951288830362379,1.0714788295304942,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\11_1.1_10_TH6-10-1.1
