sample_key,sample_name,condition_code,side_pressure_mpa,axial_pressure_mpa,thickness_um,thickness_mm,n_points,neg_count,poisson_valid_count,q_min,q_max,i_min,i_max,alpha,C,D,score,R_hs,eta,background,powerlaw_amp,porosity_pct,partial_porosity_pct,pore_vol_mm3,partial_pore_vol_mm3,porosity_ratio_vs_global_0_0.1,pore_vol_ratio_vs_global_0_0.1,porosity_ratio_vs_side_group_baseline,pore_vol_ratio_vs_side_group_baseline,output_dir,source_file
0_0.1,TH6-0.1,0.1,0.0,0.1,840.9,0.8409,450,0,450,0.0002628799999999999,0.6612659999999999,0.018349885940551758,1997389.7680688617,1e-06,314.30920672185476,628.6184134437095,-2392.266577042048,4152.850103050385,0.08421052631578947,0.03335628742553748,4.3331824544377894e-14,8.905599741809771,8.37687087990891,0.7488718822887837,0.7044110722915401,1.0,1.0,1.0,1.0,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\01_0_0.1_TH6-0.1,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\0_0.1拼接后_IQ_Normed_OnlyCell_TH6-0.1_6_10.5A_12.75m_处理后.dat
0_1,TH6-1.0,01,0.0,1.0,769.1,0.7691,450,10,440,0.0002628799999999999,0.7062048,-0.4698804020881653,2202701.9510608283,1e-06,325.0894860857504,650.1789721715008,-2451.0290262955928,4152.85010305038,0.08421052631578947,0.03350564049778184,1.8570269601293608e-14,11.560130633498183,9.048628885119536,0.8890896470223452,0.6959300475545435,1.2980743541870616,1.1872386559701142,1.2980743541870616,1.1872386559701142,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\02_0_1_TH6-1.0,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\0_1拼接后_IQ_Normed_OnlyCell_TH6-1.0_6_10.5A_12.75m_处理后.dat
0_2,TH6-2,02,0.0,2.0,750.9,0.7509,450,9,441,0.0002628799999999999,0.7062048,-0.20032930374145508,2284625.8026206642,1e-06,322.70381975883686,645.4076395176737,-2408.585704722621,4152.85010305038,0.08421052631578947,0.04550006089483037,4.856530842807332e-14,12.259223443637879,9.482384752098731,0.9205450883827684,0.7120322710350937,1.3765747169259814,1.229242424711285,1.3765747169259814,1.229242424711285,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\03_0_2_TH6-2,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\0_2拼接后_IQ_Normed_OnlyCell_TH6-2_6_10.5A_12.75m_处理后.dat
0_3,TH6-3,03,0.0,3.0,740.6,0.7406,450,10,440,0.0002628799999999999,0.7062048,-0.8205146193504333,2236374.644557255,1e-06,311.0422132730667,622.0844265461334,-2400.071278791467,4152.850103050385,0.08332706766917294,0.03930675930554341,2.7745199434192695e-14,10.886736887935754,9.500400195344099,0.806271733920522,0.703599638467184,1.2224597111438764,1.07664842677269,1.2224597111438764,1.07664842677269,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\04_0_3_TH6-3,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\0_3拼接后_IQ_Normed_OnlyCell_TH6-3_6_10.5A_12.75m_处理后.dat
0_4,TH6-4,04,0.0,4.0,732.3,0.7323,450,9,441,0.0002628799999999999,0.6612659999999999,-0.9606079459190369,2284172.3002973357,1e-06,317.23816442525856,634.4763288505171,-2428.0269170238357,4152.850103050385,0.09216165413533835,0.043240499584099666,1.5467793061469543e-14,11.206465599596124,9.576706150093253,0.8206494758584242,0.7013021913713289,1.2583616965159918,1.0958476279684397,1.2583616965159918,1.0958476279684397,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\05_0_4_TH6-4,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\0_4拼接后_IQ_Normed_OnlyCell_TH6-4_6_10.5A_12.75m_处理后.dat
0_5,TH6-5,05,0.0,5.0,726.1,0.7261,450,6,444,0.0002628799999999999,0.7062048,-0.02175736427307129,2303039.470357149,1e-06,309.57025712937974,619.1405142587595,-2403.880685195723,4152.850103050385,0.0837687969924812,0.04787750793290192,3.638500496481628e-14,12.480549096674595,9.499746701375825,0.9062126699095423,0.6897766079868985,1.4014271310758832,1.2101037458368402,1.4014271310758832,1.2101037458368402,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\06_0_5_TH6-5,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\0_5拼接后_IQ_Normed_OnlyCell_TH6-5_6_10.5A_12.75m_处理后.dat
1.1_3,TH6-3-1.1,03-1.1,1.1,3.0,740.6,0.7406,450,0,450,0.0002628799999999999,0.7062048,0.017317771911621094,2007917.8747320967,1e-06,235.36160024414804,470.7232004882961,-2396.8342413972523,4152.850103050385,0.07581766917293234,0.0567759218295942,1.8606860913968088e-14,11.410731787687133,8.315214178752694,0.8450787961961091,0.6158247620784246,1.2812985221103455,1.1284691229336685,1.0,1.0,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\07_1.1_3_TH6-3-1.1,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\1.1_3拼接后_IQ_Normed_OnlyCell_TH6-3_1.1_6_10.5A_12.75m_处理后.dat
1.1_4,TH6-4-1.1,04-1.1,1.1,4.0,732.3,0.7323,450,0,450,0.0002628799999999999,0.7062048,0.0050754547119140625,2056959.4237811689,1e-06,242.085421670532,484.170843341064,-2338.2732943528954,4152.850103050385,0.08421052631578947,0.05022981681054173,3.2860165685719955e-14,11.021705591565176,8.527124640583702,0.8071195004703179,0.6244413374299445,1.237615198426308,1.0777804849656145,0.965906989721576,0.9550819451432758,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\08_1.1_4_TH6-4-1.1,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\1.1_4拼接后_IQ_Normed_OnlyCell_TH6-4_1.1_6_10.5A_12.75m_处理后.dat
1.1_6,TH6-6-1.1,06-1.1,1.1,6.0,720.7,0.7207,450,0,450,0.0002628799999999999,0.7062048,0.022750377655029297,2111378.573616338,1e-06,242.92847141980405,485.8569428396081,-2357.810491258908,4152.85010305038,0.08421052631578947,0.05569986362749967,1.915681098562899e-14,10.989904629929416,8.790580030659353,0.792042426679013,0.6335371028096195,1.2340443034211728,1.0576474366460213,0.9631200552613273,0.9372409179406408,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\09_1.1_6_TH6-6-1.1,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\1.1_6拼接后_IQ_Normed_OnlyCell_TH6-6-1.1_6_10.5A_12.75m_处理后.dat
1.1_8,TH6-8-1.1,08-1.1,1.1,8.0,711.2,0.7112,450,0,450,0.0002628799999999999,0.7062048,0.015073895454406738,2142702.540567399,1e-06,240.3895737933607,480.7791475867214,-2349.6511604830575,4152.850103050385,0.08421052631578947,0.048171440414577923,1.8934733969344948e-14,12.009646973999773,8.854542893220211,0.8541260927908639,0.6297350905658213,1.3485500496521536,1.140550357132372,1.0524870093747103,1.0107058615545423,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\10_1.1_8_TH6-8-1.1,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\1.1_8拼接后_IQ_Normed_OnlyCell_TH6-8-1.1_6_10.5A_12.75m_处理后.dat
