# Q(1/A)  I_MAP  dI_MAP
2.628799999999998954e-04 1.516474891477189958e+06 1.469987760733700998e+05
2.675438070964800586e-04 1.552860799621745711e+06 1.459353704562858329e+05
2.722903557352346284e-04 1.589076899145241361e+06 1.448340399028469692e+05
2.771211138506526656e-04 1.625066471820004284e+06 1.436946001467291208e+05
2.820375754200420289e-04 1.660771528926213039e+06 1.425169367134557979e+05
2.870412609256645163e-04 1.696132932130145375e+06 1.413010074720343691e+05
2.921337178249632373e-04 1.731090522806894733e+06 1.400468449934554519e+05
2.973165210291369332e-04 1.765583259606939042e+06 1.387545586996510101e+05
3.025912733902008352e-04 1.799549364017742919e+06 1.374243367870975053e+05
3.079596061966908367e-04 1.832926473622587044e+06 1.360564479099499877e+05
3.134231796781628216e-04 1.865651802709013689e+06 1.346512426082254387e+05
3.189836835186387210e-04 1.897662309829270467e+06 1.332091544675976620e+05
3.246428373791666985e-04 1.928894871864949819e+06 1.317307009981138108e+05
3.304023914296471982e-04 1.959286464097979246e+06 1.302164842204003216e+05
3.362641268900991407e-04 1.988774345740742981e+06 1.286671909489010286e+05
3.422298565815239113e-04 2.017296250329403672e+06 1.270835927630476508e+05
3.483014254865459238e-04 2.044790580337255727e+06 1.254665456585416250e+05
3.544807113199996006e-04 2.071196605318899732e+06 1.238169893723506393e+05
3.607696251096353208e-04 2.096454662852162961e+06 1.221359463764796528e+05
3.671701117871337995e-04 2.120506361503099557e+06 1.204245205372275232e+05
3.736841507895997147e-04 2.143294785000142641e+06 1.186838954381308140e+05
3.803137566717306600e-04 2.164764696767733898e+06 1.169153323666431534e+05
3.870609797288466049e-04 2.184862743936867453e+06 1.151201679661645321e+05
3.939279066309686757e-04 2.203537659921210725e+06 1.132998115569703950e+05
4.009166610681532024e-04 2.220740464622628875e+06 1.114557421312545921e+05
4.080294044072686516e-04 2.236424661309473217e+06 1.095895050294146495e+05
4.152683363604304980e-04 2.250546429195441306e+06 1.077027083065192855e+05
4.226356956652892443e-04 2.263064810736158863e+06 1.057970187996668683e+05
4.301337607773916827e-04 2.273941892655468546e+06 1.038741579088055296e+05
4.377648505748250288e-04 2.283142979713726323e+06 1.019358971053594723e+05
4.455313250753588166e-04 2.290636760236618109e+06 9.998405318466269819e+04
4.534355861663153810e-04 2.296395462435274385e+06 9.802048327991031692e+04
4.614800783473826246e-04 2.300395000566851348e+06 9.604707965699669148e+04
4.696672894866124712e-04 2.302615110009546392e+06 9.406576431088903337e+04
4.779997515898240165e-04 2.303039470357148908e+06 9.207848338584580051e+04
4.864800415836623669e-04 2.301655815675819293e+06 9.008720144282003457e+04
4.951107821125495237e-04 2.298456031109950505e+06 8.809389559876850399e+04
5.038946423497687099e-04 2.293436235074202530e+06 8.610054956328710250e+04
5.128343388229472275e-04 2.286596846325719263e+06 8.410914759915930335e+04
5.219326362541750136e-04 2.277942635273276363e+06 8.212166843384287495e+04
5.311923484150342292e-04 2.267482758948860224e+06 8.014007914952897409e+04
5.406163389967977035e-04 2.255230779141628183e+06 7.816632907976054412e+04
5.502075224960606718e-04 2.241204663273884915e+06 7.620234374065285374e+04
5.599688651160921425e-04 2.225426767683488317e+06 7.425001882491222932e+04
5.699033856841702241e-04 2.207923803066215012e+06 7.231121428641850071e+04
5.800141565851962052e-04 2.188726781925037503e+06 7.038774854289564246e+04
5.903043047118737259e-04 2.167870947969979607e+06 6.848139282381148951e+04
6.007770124317377523e-04 2.145395687512132805e+06 6.659386568951829395e+04
6.114355185713500488e-04 2.121344422997380141e+06 6.472682774736259307e+04
6.222831194179451013e-04 2.095764488929436542e+06 6.288187658915119391e+04
6.333231697388565229e-04 2.068706990536339115e+06 6.106054197357860539e+04
6.445590838190193858e-04 2.040226645639896160e+06 5.926428127590401709e+04
6.559943365168885952e-04 2.010381610291905701e+06 5.749447522629215382e+04
6.676324643390821930e-04 1.979233288844583789e+06 5.575242395687830140e+04
6.794770665340949109e-04 1.946846129223526688e+06 5.403934337629373476e+04
6.915318062054173157e-04 1.913287404270361643e+06 5.235636188982053864e+04
7.038004114443945905e-04 1.878626980116658378e+06 5.070451748165080062e+04
7.162866764831956386e-04 1.842937072641098406e+06 4.908475517505341122e+04
7.289944628682249296e-04 1.806291993146966211e+06 4.749792488532218704e+04
7.419277006543606749e-04 1.768767884476033971e+06 4.594477967926040583e+04
7.550903896203792903e-04 1.730442448847205611e+06 4.442597445489135134e+04
7.684866005059365086e-04 1.691394668773158919e+06 4.294206505327092600e+04
7.821204762705039103e-04 1.651704522464957554e+06 4.149350781464024476e+04
7.959962333746297206e-04 1.611452695182732772e+06 4.008065959017061687e+04
8.101181630839421549e-04 1.570720288029080490e+06 3.870377821912830404e+04
8.244906327962760878e-04 1.529588525711097289e+06 3.736302348144459393e+04
8.391180873923520609e-04 1.488138464815745596e+06 3.605845853366691881e+04
8.540050506104184371e-04 1.446450704151385464e+06 3.479005183503839362e+04
8.691561264452727070e-04 1.404605098706258461e+06 3.355767956860615959e+04
