# Q(1/A)  I_MAP  dI_MAP
2.628799999999998954e-04 1.468813950379148126e+06 1.425058991214717389e+05
2.675438070964800586e-04 1.504152457311647944e+06 1.414735750152781256e+05
2.722903557352346284e-04 1.539331571031453554e+06 1.404045396754202375e+05
2.771211138506526656e-04 1.574296381932907738e+06 1.392986218555395608e+05
2.820375754200420289e-04 1.608990739315903746e+06 1.381557181306761340e+05
2.870412609256645163e-04 1.643357368104377994e+06 1.369757953439130215e+05
2.921337178249632373e-04 1.677337993764718529e+06 1.357588928632482130e+05
2.973165210291369332e-04 1.710873475230695680e+06 1.345051246327636181e+05
3.025912733902008352e-04 1.743903945594691206e+06 1.332146810027514002e+05
3.079596061966908367e-04 1.776368960277444683e+06 1.318878303241322865e+05
3.134231796781628216e-04 1.808207652340257540e+06 1.305249202932066837e+05
3.189836835186387210e-04 1.839358894554967526e+06 1.291263790336497332e+05
3.246428373791666985e-04 1.869761467798380181e+06 1.276927159036248340e+05
3.304023914296471982e-04 1.899354235289280768e+06 1.262245220169075328e+05
3.362641268900991407e-04 1.928076322138267569e+06 1.247224704680767027e+05
3.422298565815239113e-04 1.955867299633373041e+06 1.231873162530307891e+05
3.483014254865459238e-04 1.982667373638749588e+06 1.216198958774184284e+05
3.544807113199996006e-04 2.008417576438957825e+06 1.200211266469968250e+05
3.607696251096353208e-04 2.033059961319068912e+06 1.183920056353314430e+05
3.671701117871337995e-04 2.056537799130321713e+06 1.167336083259048173e+05
3.736841507895997147e-04 2.078795776053329231e+06 1.150470869272179116e+05
3.803137566717306600e-04 2.099780191736042965e+06 1.133336683611969638e+05
3.870609797288466049e-04 2.119439156952077523e+06 1.115946519269694254e+05
3.939279066309686757e-04 2.137722789897097275e+06 1.098314066436690046e+05
4.009166610681532024e-04 2.154583410217135213e+06 1.080453682779887167e+05
4.080294044072686516e-04 2.169975729842917062e+06 1.062380360637174308e+05
4.152683363604304980e-04 2.183857039689445868e+06 1.044109691225528077e+05
4.226356956652892443e-04 2.196187391269836575e+06 1.025657825971056445e+05
4.301337607773916827e-04 2.206929772267655469e+06 1.007041435089295119e+05
4.377648505748250288e-04 2.216050275112372823e+06 9.882776635608586366e+04
4.455313250753588166e-04 2.223518257608860731e+06 9.693840846647111175e+04
4.534355861663153810e-04 2.229306494683802128e+06 9.503786512481268437e+04
4.614800783473826246e-04 2.233391320329895709e+06 9.312796449277411739e+04
4.696672894866124712e-04 2.235752758852967527e+06 9.121056234302818484e+04
4.779997515898240165e-04 2.236374644557254855e+06 8.928753662973192695e+04
4.864800415836623669e-04 2.235244729040818289e+06 8.736078191869286820e+04
4.951107821125495237e-04 2.232354775315711275e+06 8.543220370207724045e+04
5.038946423497687099e-04 2.227700638016454875e+06 8.350371262314687192e+04
5.128343388229472275e-04 2.221282329015363473e+06 8.157721863739703258e+04
5.219326362541750136e-04 2.213104067823999561e+06 7.965462513719363778e+04
5.311923484150342292e-04 2.203174316226713359e+06 7.773782306727555988e+04
5.406163389967977035e-04 2.191505796664034482e+06 7.582868505897352588e+04
5.502075224960606718e-04 2.178115493960824329e+06 7.392905961088424374e+04
5.599688651160921425e-04 2.163024640075829346e+06 7.204076534367082058e+04
5.699033856841702241e-04 2.146258681635510176e+06 7.016558535654711886e+04
5.800141565851962052e-04 2.127847230104885995e+06 6.830526171216789226e+04
5.903043047118737259e-04 2.107823994541646913e+06 6.646149007629441621e+04
6.007770124317377523e-04 2.086226696975862142e+06 6.463591453764839389e+04
6.114355185713500488e-04 2.063096970555979526e+06 6.283012263238463493e+04
6.222831194179451013e-04 2.038480240701847710e+06 6.104564059649880073e+04
6.333231697388565229e-04 2.012425589606214548e+06 5.928392886840265419e+04
6.445590838190193858e-04 1.984985604527338641e+06 5.754637786222730210e+04
6.559943365168885952e-04 1.956216210415701149e+06 5.583430403158166882e+04
6.676324643390821930e-04 1.926176487517266069e+06 5.414894624156143254e+04
6.794770665340949109e-04 1.894928474692751886e+06 5.249146246565217007e+04
6.915318062054173157e-04 1.862536959286909783e+06 5.086292682288833748e+04
7.038004114443945905e-04 1.829069254472695058e+06 4.926432696877591661e+04
7.162866764831956386e-04 1.794594965081608854e+06 4.769656185304105747e+04
7.289944628682249296e-04 1.759185743013101630e+06 4.616043985503957083e+04
7.419277006543606749e-04 1.722915033391515026e+06 4.465667730752991338e+04
7.550903896203792903e-04 1.685857812708158512e+06 4.318589741786905506e+04
7.684866005059365086e-04 1.648090320248140488e+06 4.174862959510419751e+04
7.821204762705039103e-04 1.609689784155795118e+06 4.034530919046392955e+04
7.959962333746297206e-04 1.570734143538271077e+06 3.897627765809546690e+04
8.101181630839421549e-04 1.531301768043817254e+06 3.764178314205518836e+04
8.244906327962760878e-04 1.491471176378882956e+06 3.634198149461145658e+04
8.391180873923520609e-04 1.451320755246016663e+06 3.507693773030711600e+04
8.540050506104184371e-04 1.410928480192216113e+06 3.384662791872744856e+04
8.691561264452727070e-04 1.370371639854962006e+06 3.265094151755469284e+04
8.845760005721163381e-04 1.329726565080266912e+06 3.148968414590523025e+04
9.002694417956557055e-04 1.289068364363509696e+06 3.036258079511519099e+04
9.162413035249268025e-04 1.248470667029795237e+06 2.926927947212210347e+04
9.324965252742715592e-04 1.208005375526667573e+06 2.820935526605269479e+04
9.490401341909520316e-04 1.167742428146880120e+06 2.718231482545736071e+04
