# Q(1/A)  I_MAP  dI_MAP
2.628799999999998954e-04 1.445489091387295630e+06 1.303509374618971924e+05
2.675438070964800586e-04 1.479296127755327849e+06 1.293567671677036415e+05
2.722903557352346284e-04 1.512888830585969146e+06 1.283281014695610211e+05
2.771211138506526656e-04 1.546212674063645303e+06 1.272648430792826257e+05
2.820375754200420289e-04 1.579212061054246500e+06 1.261669612726330524e+05
2.870412609256645163e-04 1.611830446092632134e+06 1.250344940608060861e+05
2.921337178249632373e-04 1.644010466117896140e+06 1.238675501678469445e+05
2.973165210291369332e-04 1.675694078710539732e+06 1.226663107992526784e+05
3.025912733902008352e-04 1.706822707539028488e+06 1.214310311875347106e+05
3.079596061966908367e-04 1.737337394676299999e+06 1.201620419012251950e+05
3.134231796781628216e-04 1.767178959399372339e+06 1.188597499045274162e+05
3.189836835186387210e-04 1.796288163037918974e+06 1.175246393557259871e+05
3.246428373791666985e-04 1.824605879390787100e+06 1.161572721333284426e+05
3.304023914296471982e-04 1.852073270182950422e+06 1.147582880800046842e+05
3.362641268900991407e-04 1.878631964990044013e+06 1.133284049554255616e+05
3.422298565815239113e-04 1.904224245013357839e+06 1.118684180904078530e+05
3.483014254865459238e-04 1.928793230045695323e+06 1.103791997358862718e+05
3.544807113199996006e-04 1.952283067927712109e+06 1.088616981017394719e+05
3.607696251096353208e-04 1.974639125756010879e+06 1.073169360817970010e+05
3.671701117871337995e-04 1.995808182068499271e+06 1.057460096629065083e+05
3.736841507895997147e-04 2.015738619199619861e+06 1.041500860174734262e+05
3.803137566717306600e-04 2.034380614968607435e+06 1.025304012804733793e+05
3.870609797288466049e-04 2.051686332837940194e+06 1.008882580136405741e+05
3.939279066309686757e-04 2.067610109657224733e+06 9.922502236114625703e+04
4.009166610681532024e-04 2.082108640090045985e+06 9.754212090292001085e+04
4.080294044072686516e-04 2.095141156808116473e+06 9.584103721341337950e+04
4.152683363604304980e-04 2.106669605528799817e+06 9.412330813549265440e+04
4.226356956652892443e-04 2.116658813968716655e+06 9.239051978077054082e+04
4.301337607773916827e-04 2.125076653788323980e+06 9.064430326963699190e+04
4.377648505748250288e-04 2.131894194609779865e+06 8.888633022581657860e+04
4.455313250753588166e-04 2.137085849203767721e+06 8.711830804214776435e+04
4.534355861663153810e-04 2.140629508959920611e+06 8.534197493588978250e+04
4.614800783473826246e-04 2.142506668780420907e+06 8.355909481341949140e+04
4.696672894866124712e-04 2.142702540567399003e+06 8.177145196593247238e+04
4.779997515898240165e-04 2.141206154511545785e+06 7.998084561892885540e+04
4.864800415836623669e-04 2.138010447432271671e+06 7.818908435997515335e+04
4.951107821125495237e-04 2.133112337468567304e+06 7.639798047015977500e+04
5.038946423497687099e-04 2.126512784474227112e+06 7.460934418601451034e+04
