# Q(1/A)  I_MAP  dI_MAP
2.628799999999998954e-04 1.484530416872071102e+06 1.333577098714843160e+05
2.675438070964800586e-04 1.519138855015134439e+06 1.323400291431831429e+05
2.722903557352346284e-04 1.553520718748730607e+06 1.312870061665322282e+05
2.771211138506526656e-04 1.587619954428633908e+06 1.301985392631403956e+05
2.820375754200420289e-04 1.621379422910757363e+06 1.290745948884003301e+05
2.870412609256645163e-04 1.654741026538767386e+06 1.279152098612775881e+05
2.921337178249632373e-04 1.687645844054609304e+06 1.267204933955962770e+05
2.973165210291369332e-04 1.720034273175690323e+06 1.254906289176571881e+05
3.025912733902008352e-04 1.751846180534807965e+06 1.242258756556763983e+05
3.079596061966908367e-04 1.783021058630637126e+06 1.229265699871289107e+05
3.134231796781628216e-04 1.813498189388250001e+06 1.215931265309746959e+05
3.189836835186387210e-04 1.843216813880604692e+06 1.202260389725296991e+05
3.246428373791666985e-04 1.872116307714040857e+06 1.188258806097530905e+05
3.304023914296471982e-04 1.900136361533239484e+06 1.173933046107894043e+05
3.362641268900991407e-04 1.927217166054820176e+06 1.159290439736924309e+05
3.422298565815239113e-04 1.953299600993444212e+06 1.144339111805697466e+05
3.483014254865459238e-04 1.978325427200988634e+06 1.129087975396047405e+05
3.544807113199996006e-04 2.002237481297674123e+06 1.113546722098737082e+05
3.607696251096353208e-04 2.024979872034949716e+06 1.097725809052964469e+05
3.671701117871337995e-04 2.046498177593489643e+06 1.081636442756233446e+05
3.736841507895997147e-04 2.066739642986114137e+06 1.065290559638800478e+05
3.803137566717306600e-04 2.085653376705518691e+06 1.048700803414585243e+05
3.870609797288466049e-04 2.103190545730253682e+06 1.031880499236509204e+05
3.939279066309686757e-04 2.119304567980173510e+06 1.014843624701419321e+05
4.009166610681532024e-04 2.133951301294690464e+06 9.976047777686554764e+04
4.080294044072686516e-04 2.147089227993826382e+06 9.801791416731914796e+04
4.152683363604304980e-04 2.158679634073857684e+06 9.625824469323008088e+04
4.226356956652892443e-04 2.168686782086184248e+06 9.448309305640812090e+04
4.301337607773916827e-04 2.177078076750471257e+06 9.269412926521424379e+04
4.377648505748250288e-04 2.183824222360999323e+06 9.089306504104862688e+04
4.455313250753588166e-04 2.188899371059069410e+06 8.908164899186867115e+04
4.534355861663153810e-04 2.192281261063993908e+06 8.726166157151192601e+04
4.614800783473826246e-04 2.193951343981071841e+06 8.543490984517174365e+04
4.696672894866124712e-04 2.193894900336820632e+06 8.360322208295829478e+04
4.779997515898240165e-04 2.192101142529863864e+06 8.176844220498991490e+04
4.864800415836623669e-04 2.188563304430020973e+06 7.993242410262854537e+04
4.951107821125495237e-04 2.183278716908368282e+06 7.809702586204822001e+04
5.038946423497687099e-04 2.176248868637174834e+06 7.626410391694237478e+04
5.128343388229472275e-04 2.167479451560573652e+06 7.443550715866326937e+04
5.219326362541750136e-04 2.156980390504103154e+06 7.261307103240012657e+04
5.311923484150342292e-04 2.144765856464196928e+06 7.079861164899315918e+04
5.406163389967977035e-04 2.130854263196070679e+06 6.899391994212317513e+04
5.502075224960606718e-04 2.115268246800917666e+06 6.720075590105637093e+04
5.599688651160921425e-04 2.098034628099557012e+06 6.542084290901887289e+04
5.699033856841702241e-04 2.079184357669911580e+06 6.365586221720551112e+04
5.800141565851962052e-04 2.058752443518824410e+06 6.190744758395523240e+04
5.903043047118737259e-04 2.036777861454796279e+06 6.017718010805822996e+04
6.007770124317377523e-04 2.013303448326114798e+06 5.846658328427464585e+04
6.114355185713500488e-04 1.988375778388237115e+06 5.677711830820341856e+04
6.222831194179451013e-04 1.962045023164491402e+06 5.511017965639557224e+04
6.333231697388565229e-04 1.934364795264226152e+06 5.346709096585592488e+04
6.445590838190193858e-04 1.905391976722312160e+06 5.184910123610130540e+04
6.559943365168885952e-04 1.875186532521771733e+06 5.025738137429302151e+04
6.676324643390821930e-04 1.843811310057657072e+06 4.869302110278287728e+04
6.794770665340949109e-04 1.811331825393145205e+06 4.715702624569409818e+04
6.915318062054173157e-04 1.777816037248588633e+06 4.565031640952736052e+04
7.038004114443945905e-04 1.743334109749197727e+06 4.417372306991002552e+04
7.162866764831956386e-04 1.707958165037115337e+06 4.272798807458236843e+04
7.289944628682249296e-04 1.671762026927870465e+06 4.131376257047715626e+04
7.419277006543606749e-04 1.634820956858751364e+06 3.993160635976635240e+04
7.550903896203792903e-04 1.597211383437195327e+06 3.858198768807091255e+04
7.684866005059365086e-04 1.559010626950072125e+06 3.726528346489676915e+04
7.821204762705039103e-04 1.520296620238933247e+06 3.598177991481988283e+04
7.959962333746297206e-04 1.481147627381993691e+06 3.473167365513582627e+04
8.101181630839421549e-04 1.441641961649793899e+06 3.351507319360093970e+04
8.244906327962760878e-04 1.401857704217909602e+06 3.233200083790428471e+04
8.391180873923520609e-04 1.361872425126891583e+06 3.118239500668197797e+04
8.540050506104184371e-04 1.321762907975625945e+06 3.006611292903389040e+04
8.691561264452727070e-04 1.281604879820592236e+06 2.898293371881268104e+04
8.845760005721163381e-04 1.241472747728819959e+06 2.793256180677015800e+04
9.002694417956557055e-04 1.201439343397585675e+06 2.691463071258984201e+04
9.162413035249268025e-04 1.161575677208632696e+06 2.592870713621744653e+04
9.324965252742715592e-04 1.121950703029525932e+06 2.497429534653755763e+04
9.490401341909520316e-04 1.082631095009656623e+06 2.405084184212104083e+04
9.658772466098665020e-04 1.043681037543905899e+06 2.315774025804852863e+04
9.830130696358385742e-04 1.005162029493733775e+06 2.229433648899023683e+04
1.000452902753992636e-03 9.671327036633733660e+05 2.145993399706677883e+04
1.018202139468684601e-03 9.296486624298677780e+05 2.065379927036452864e+04
1.036266268971518766e-03 8.927623303185300902e+05 1.987516739518041140e+04
1.054650877838957633e-03 8.565228242034800351e+05 1.912324770252818053e+04
1.073361651760039708e-03 8.209758416941883042e+05 1.839722944741681567e+04
1.092404377294763302e-03 7.861635681472569704e+05 1.769628747675460545e+04
1.111784943663651120e-03 7.521246026162840426e+05 1.701958783994298574e+04
1.131509344569075690e-03 7.188939029248552397e+05 1.636629329499458981e+04
1.151583680048893577e-03 6.865027499180175364e+05 1.573556866190047367e+04
1.172014158362963670e-03 6.549787308176895604e+05 1.512658597444320367e+04
1.192807097913132618e-03 6.243457414788091555e+05 1.453852938327246375e+04
1.213968929197288072e-03 5.946240072155389935e+05 1.397059976206583451e+04
