# Q(1/A)  I_MAP  dI_MAP
2.628799999999998954e-04 1.358351192889759783e+06 1.219797437227974442e+05
2.675438070964800586e-04 1.390003812985171098e+06 1.210465109984337614e+05
2.722903557352346284e-04 1.421449399873610120e+06 1.200809360380063590e+05
2.771211138506526656e-04 1.452636781540805940e+06 1.190829304014406371e+05
2.820375754200420289e-04 1.483513799556680024e+06 1.180524681723067770e+05
2.870412609256645163e-04 1.514027425087494310e+06 1.169895879865410243e+05
2.921337178249632373e-04 1.544123882106997073e+06 1.158943948783184896e+05
2.973165210291369332e-04 1.573748777570152190e+06 1.147670619293172203e+05
3.025912733902008352e-04 1.602847238269565161e+06 1.136078317080109118e+05
3.079596061966908367e-04 1.631364054050846491e+06 1.124170174864078435e+05
3.134231796781628216e-04 1.659243827019209741e+06 1.111950042222665506e+05
3.189836835186387210e-04 1.686431126325456891e+06 1.099422492956937058e+05
3.246428373791666985e-04 1.712870648076080251e+06 1.086592829899032222e+05
3.304023914296471982e-04 1.738507379868994467e+06 1.073467087068697729e+05
3.362641268900991407e-04 1.763286769414503127e+06 1.060052029097021441e+05
3.422298565815239113e-04 1.787154896660025232e+06 1.046355147846419859e+05
3.483014254865459238e-04 1.810058648798011709e+06 1.032384656168510410e+05
3.544807113199996006e-04 1.831945897498717997e+06 1.018149478754082229e+05
3.607696251096353208e-04 1.852765677674356382e+06 1.003659240042276215e+05
3.671701117871337995e-04 1.872468367048194399e+06 9.889242491713266645e+04
3.736841507895997147e-04 1.891005865772102494e+06 9.739554819665329705e+04
3.803137566717306600e-04 1.908331775309142657e+06 9.587645599772306741e+04
3.870609797288466049e-04 1.924401575774198864e+06 9.433637265896658937e+04
3.939279066309686757e-04 1.939172800905818120e+06 9.277658202586295374e+04
4.009166610681532024e-04 1.952605209826653823e+06 9.119842449170284090e+04
4.080294044072686516e-04 1.964660954738227651e+06 8.960329376393953862e+04
4.152683363604304980e-04 1.975304743688788265e+06 8.799263336505074403e+04
4.226356956652892443e-04 1.984503997550589731e+06 8.636793287889075873e+04
4.301337607773916827e-04 1.992229000345735345e+06 8.473072395499737468e+04
