# Q(1/A)  I_MAP  dI_MAP
2.628799999999998954e-04 1.427614747572357301e+06 1.286279587753221131e+05
2.675438070964800586e-04 1.460898770906449296e+06 1.276461003877362382e+05
2.722903557352346284e-04 1.493965972972022835e+06 1.266302055157881405e+05
2.771211138506526656e-04 1.526762582299903268e+06 1.255801802184948028e+05
2.820375754200420289e-04 1.559233791410017759e+06 1.244959962246000359e+05
2.870412609256645163e-04 1.591323878849172033e+06 1.233776930528684024e+05
2.921337178249632373e-04 1.622976338789884932e+06 1.222253799393783702e+05
2.973165210291369332e-04 1.654134017939917510e+06 1.210392375574273901e+05
3.025912733902008352e-04 1.684739259466380347e+06 1.198195195161759329e+05
3.079596061966908367e-04 1.714734053592170589e+06 1.185665536249378201e+05
3.134231796781628216e-04 1.744060194476193748e+06 1.172807429107571079e+05
3.189836835186387210e-04 1.772659442942516413e+06 1.159625663777989685e+05
3.246428373791666985e-04 1.800473694577828282e+06 1.146125794980524661e+05
3.304023914296471982e-04 1.827445152671359479e+06 1.132314144238860317e+05
3.362641268900991407e-04 1.853516505427210592e+06 1.118197799141125433e+05
3.422298565815239113e-04 1.878631106836168328e+06 1.103784609664349991e+05
3.483014254865459238e-04 1.902733160552860238e+06 1.089083181504542736e+05
3.544807113199996006e-04 1.925767906084788730e+06 1.074102866367297975e+05
3.607696251096353208e-04 1.947681806562755257e+06 1.058853749188587099e+05
3.671701117871337995e-04 1.968422737327951239e+06 1.043346632269684051e+05
3.736841507895997147e-04 1.987940174539466854e+06 1.027593016326330981e+05
3.803137566717306600e-04 2.006185382977964822e+06 1.011605078467331186e+05
3.870609797288466049e-04 2.023111602196770487e+06 9.953956471348578634e+04
3.939279066309686757e-04 2.038674230151056312e+06 9.789781740546232322e+04
4.009166610681532024e-04 2.052831003419482615e+06 9.623667032618288067e+04
4.080294044072686516e-04 2.065542173120862804e+06 9.455758372848523140e+04
4.152683363604304980e-04 2.076770675621294649e+06 9.286207005870065768e+04
4.226356956652892443e-04 2.086482297125231940e+06 9.115169003819287173e+04
4.301337607773916827e-04 2.094645831247076858e+06 8.942804849571034720e+04
4.377648505748250288e-04 2.101233228668478318e+06 8.769278996542771347e+04
4.455313250753588166e-04 2.106219738000707235e+06 8.594759406743610452e+04
